Id,Script result,GBS2p(234),GBS2p(2345),GBS2p(24),Passport ploidy,species
PI_611088,2,3,3,2,4,tbr
PI_611096,3,3,3,4,2,tbr
PI_611108,3,4,4,4,4,tbr
PI_619135,5,4,4,4,4,tbr adg
PI_619136,3,4,4,4,4,tbr
PI_619139,3,4,5,4,4,tbr adg
PI_619140,4,4,4,4,4,tbr adg
PI_619144,5,3,3,4,4,tbr adg
PI_619145,4,3,3,2,4,tbr adg
PI_619146,4,3,3,2,4,tbr adg
PI_619148,4,3,3,4,4,tbr adg
PI_619149,2,3,3,4,4,tbr
PI_619151,5,4,4,4,4,tbr
PI_619152,4,4,4,4,4,tbr
PI_619155,3,4,4,4,4,tbr
PI_619156,4,3,3,2,4,tbr
PI_619158,5,4,4,4,4,tbr
PI_629019,3,4,4,4,4,tbr
PI_629020,4,4,4,4,4,tbr
PI_629023,4,4,4,4,4,tbr
PI_630949,5,3,5,4,4,tbr
PI_630951,5,2,5,2,4,tbr
PI_630952,5,4,5,4,4,tbr
PI_630953,4,3,3,4,4,tbr
PI_631416,4,3,5,4,4,tbr
PI_631417,5,4,5,4,4,tbr
PI_631418,4,4,4,4,4,tbr
PI_631419,4,3,3,4,4,tbr adg
PI_633598,6,2,5,2,4,tbr
PI_633600,4,4,4,4,4,tbr
PI_633603,3,3,3,4,5,tbr
PI_633606,3,4,4,4,4,tbr
PI_634530,4,4,4,4,4,tbr
PI_634532,4,4,4,4,4,tbr
PI_634533,3,4,5,4,4,tbr
PI_634534,3,4,4,4,4,tbr
PI_634776,4,3,3,2,4,tbr
PI_634777,4,4,5,4,4,tbr
PI_634778,4,4,5,4,4,tbr
PI_634780,3,3,5,4,4,tbr
PI_634781,4,3,5,4,5,tbr
PI_635116,4,4,4,4,4,tbr
PI_639204,4,4,4,4,4,tbr
PI_642184,5,4,4,4,4,tbr
PI_642185,4,4,5,4,4,tbr adg
PI_642186,4,4,4,4,4,tbr adg
PI_642187,4,4,4,4,4,tbr adg
PI_642188,5,4,4,4,4,tbr adg
PI_642189,3,4,4,4,4,tbr adg
PI_642429,4,4,4,4,4,tbr adg
PI_642430,3,4,4,4,4,tbr
PI_642438,3,4,4,4,4,tbr adg
PI_642439,4,4,5,4,4,tbr adg
PI_642440,5,4,5,4,4,tbr adg
PI_642441,3,4,5,4,4,tbr adg
PI_642442,5,3,3,4,4,tbr adg
PI_642443,5,3,3,2,4,tbr adg
PI_642444,4,4,4,4,4,tbr adg
PI_642446,4,2,5,2,4,tbr adg
PI_653760,4,4,5,4,4,tbr
PI_653830,4,4,4,4,4,tbr
PI_654350,4,4,4,4,4,tbr
PI_657132,4,4,4,4,4,tbr
PI_657133,5,4,4,4,4,tbr
PI_657134,5,4,5,4,4,tbr
PI_657135,4,4,4,4,4,tbr
PI_657136,3,3,3,2,4,tbr
PI_657137,5,4,4,4,4,tbr
PI_657138,3,4,4,4,4,tbr
PI_657139,3,4,4,4,4,tbr
PI_657140,3,4,4,4,4,tbr
PI_657141,3,4,4,4,4,tbr
PI_657142,3,4,4,4,4,tbr
PI_657143,4,4,4,4,4,tbr
PI_657144,5,4,4,4,4,tbr
PI_657145,4,4,4,4,4,tbr
PI_657146,3,4,4,4,4,tbr
PI_657147,5,4,4,4,4,tbr adg
PI_658588,3,4,5,4,4,tbr
PI_658589,3,4,5,4,4,tbr
PI_661981,4,4,5,4,4,tbr
